sub ses blk trl soa cond acc rt
10 1 3 87 0.4 0 1 0.36483
10 1 3 88 0.5 0 1 0.21556
10 1 3 89 0.4 0 1 0.36499
10 1 3 90 0.5 0 0 NA
10 1 3 91 0.6 0 1 0.31525
10 1 3 92 0.4 0 1 0.26573
10 1 3 93 0.4 0 1 0.28206
10 1 3 94 0.4 0 1 0.2491
10 1 3 95 0.5 2 1 0.56416
10 1 3 96 0.6 2 1 0.33198
10 1 3 97 0.3 0 1 0.31544
10 1 3 98 0.4 0 1 0.3155
10 1 3 99 0.6 0 1 0.24896
10 1 3 100 0.3 2 1 0.34858
10 1 3 101 0.3 0 1 0.28227
10 1 3 102 0.3 0 1 0.31531
10 1 3 103 0.5 0 1 0.13288
10 1 3 104 0.6 0 1 0.28196
10 1 3 105 0.5 0 1 0.29879
10 1 3 106 0.3 0 1 0.365
10 1 3 107 0.5 0 1 0.26559
10 1 3 108 0.3 0 1 0.29882
10 1 3 109 0.3 0 1 0.36494
10 1 3 110 0.6 0 1 0.23248
10 1 3 111 0.4 0 1 0.31539
10 1 3 112 0.3 0 1 0.29828
10 1 3 113 0.3 0 1 0.3153
10 1 3 114 0.6 0 1 0.24909
10 1 3 115 0.5 0 1 0.33197
10 1 3 116 0.4 0 1 0.28226
10 1 3 117 0.6 0 1 0.24886
10 1 3 118 0.3 0 1 0.34846
10 1 3 119 0.4 0 1 0.33213
10 1 3 120 0.4 0 1 0.31546
10 1 3 121 0.3 0 1 0.24881
10 1 3 122 0.3 0 1 0.26574
10 1 3 123 0.4 0 1 0.28217
10 1 3 124 0.4 2 1 0.48149
10 1 3 125 0.4 0 1 0.31539
10 1 3 126 0.6 0 1 0.2822
10 1 3 127 0.4 0 1 0.28239
10 1 3 128 0.4 0 1 0.26559
10 1 3 129 0.4 2 1 0.44827
10 1 3 130 0.4 2 1 0.36515
10 1 3 131 0.5 0 1 0.16616
10 1 3 132 0.5 0 1 0.21575
10 1 3 133 0.5 0 1 0.24901
10 1 3 134 0.5 2 1 0.33197
10 1 3 135 0.5 2 1 0.31512
10 1 3 136 0.5 2 1 0.23238
10 1 3 137 0.3 2 1 0.34876
10 1 3 138 0.3 0 1 0.28212
10 1 3 139 0.4 0 1 0.28228
10 1 3 140 0.3 0 1 0.24945
10 1 3 141 0.3 0 1 0.28215
10 1 3 142 0.4 0 1 0.14946
10 1 3 143 0.4 0 1 0.1827
10 1 3 144 0.6 0 1 0.24917
10 1 3 145 0.4 0 1 0.29877
10 1 3 146 0.5 2 1 0.11613
10 1 3 147 0.3 0 1 0.28225
10 1 3 148 0.4 0 1 0.21601
10 1 3 149 0.5 0 1 0.24904
10 1 3 150 0.4 0 1 0.31542
10 1 3 151 0.3 0 1 0.28207
10 1 3 152 0.6 0 1 0.033424
10 1 3 153 0.6 0 1 0.19945
10 1 3 154 0.6 0 1 0.08303
10 1 3 155 0.5 2 1 0.38176
10 1 3 156 0.3 0 1 0.26569
10 1 3 157 0.6 0 0 NA
10 1 3 158 0.6 0 1 0.33205
10 1 3 159 0.5 0 1 0.24896
10 1 3 160 0.6 0 1 0.21575
10 1 4 1 0.3 2 1 0.39823
10 1 4 2 0.3 0 1 0.26574
10 1 4 3 0.6 0 1 0.29881
10 1 4 4 0.3 0 1 0.26556
10 1 4 5 0.3 2 1 0.38167
10 1 4 6 0.6 2 1 0.2491
10 1 4 7 0.4 0 1 0.24901
10 1 4 8 0.3 0 1 0.249
10 1 4 9 0.4 0 1 0.24893
10 1 4 10 0.4 0 1 0.28212
10 1 4 11 0.3 0 1 0.26546
10 1 4 12 0.5 0 1 1.311
10 1 4 13 0.6 0 1 0.26585
10 1 4 14 0.6 0 1 0.23254
10 1 4 15 0.4 0 1 0.23246
10 1 4 16 0.3 0 1 0.33185
10 1 4 17 0.3 0 1 0.29883
10 1 4 18 0.6 0 1 0.016826
10 1 4 19 0.4 0 1 0.31542
10 1 4 20 0.6 0 1 0.23284
10 1 4 21 0.4 0 1 0.24889
10 1 4 22 0.5 2 1 0.26573
10 1 4 23 0.6 0 1 0.24901
10 1 4 24 0.3 0 1 0.29875
10 1 4 25 0.4 0 1 0.049916
10 1 4 26 0.5 0 1 0.13281
10 1 4 27 0.5 2 1 0.016665
10 1 4 28 0.4 0 1 0.24897
10 1 4 29 0.3 0 1 0.2491
10 1 4 30 0.3 0 1 0.23237
10 1 4 31 0.3 0 1 0.21579
10 1 4 32 0.4 2 1 0.24911
10 1 4 33 0.6 0 0 NA
10 1 4 34 0.5 0 1 0.26548
10 1 4 35 0.5 0 1 0.23234
10 1 4 36 0.3 0 1 0.36508
10 1 4 37 0.6 2 1 0.29891
10 1 4 38 0.4 0 1 0.24922
10 1 4 39 0.3 0 1 0.28224
10 1 4 40 0.6 2 1 0.64731
10 1 4 41 0.6 0 1 0.26551
10 1 4 42 0.5 2 1 0.24898
10 1 4 43 0.6 2 1 0.58087
10 1 4 44 0.4 0 1 0.24904
10 1 4 45 0.6 0 1 0.24906
10 1 4 46 0.5 0 1 0.099724
10 1 4 47 0.3 0 1 0.29899
10 1 4 48 0.5 0 1 0.13291
10 1 4 49 0.4 2 1 0.39854
10 1 4 50 0.4 0 1 0.23242
10 1 4 51 0.3 0 1 0.28206
10 1 4 52 0.5 0 1 0.26561
10 1 4 53 0.6 0 1 0.03351
10 1 4 54 0.6 0 1 0.2326
10 1 4 55 0.3 0 1 0.5147
10 1 4 56 0.6 0 1 0.26582
10 1 4 57 0.5 2 1 0.36506
10 1 4 58 0.3 0 1 0.28193
10 1 4 59 0.6 0 0 NA
10 1 4 60 0.6 0 1 0.63068
10 1 4 61 0.3 2 1 0.28233
10 1 4 62 0.4 0 1 0.21618
10 1 4 63 0.4 0 1 0.066497
