sub ses blk trl arrow cond acc rt
10 1 4 109 2 0 1 0.33751
10 1 4 110 2 2 1 0.40417
10 1 4 111 2 0 1 0.37729
10 1 4 112 2 1 1 0.39719
10 1 4 113 2 1 1 0.39253
10 1 4 114 1 1 1 0.41947
10 1 4 115 2 2 1 0.36131
10 1 4 116 1 0 1 0.37277
10 1 4 117 1 2 1 0.56984
10 1 4 118 1 1 1 0.43993
10 1 4 119 2 2 1 0.47539
10 1 4 120 1 1 1 0.65704
10 1 4 121 1 0 1 0.51604
10 1 4 122 2 1 1 0.45819
10 1 4 123 2 1 1 0.31291
10 1 4 124 2 0 1 0.37015
10 1 4 125 2 2 1 0.27762
10 1 4 126 2 2 1 0.28492
10 1 4 127 1 1 0 0.32778
10 1 4 128 1 2 1 0.57676
10 1 4 129 1 0 1 0.39551
10 1 4 130 1 2 1 0.6218
10 1 4 131 1 2 1 0.38236
10 1 4 132 1 1 1 0.29044
10 1 4 133 1 0 1 0.22698
10 1 4 134 1 0 1 0.29229
10 1 4 135 2 1 1 0.50106
10 1 4 136 1 0 1 0.51502
10 1 4 137 2 1 1 0.36213
10 1 4 138 2 0 0 0.31674
10 1 4 139 2 2 1 0.43798
10 1 4 140 2 2 1 0.43644
10 1 4 141 1 0 1 0.49662
10 1 4 142 1 1 1 0.7338
10 1 4 143 2 0 1 0.2904
10 1 4 144 2 2 0 0.33205
10 1 5 1 2 2 1 3.3236
10 1 5 2 1 1 1 0.52497
10 1 5 3 2 0 1 0.42108
10 1 5 4 2 0 1 0.41858
10 1 5 5 1 1 1 0.42356
10 1 5 6 2 0 1 0.29735
10 1 5 7 2 0 1 0.4691
10 1 5 8 2 0 1 0.40956
10 1 5 9 1 0 1 0.38216
10 1 5 10 1 2 0 0.39287
10 1 5 11 2 0 1 0.34873
10 1 5 12 1 0 1 0.32023
10 1 5 13 2 1 1 0.38659
10 1 5 14 2 1 1 0.42132
10 1 5 15 2 2 1 0.29756
10 1 5 16 1 2 1 0.40223
10 1 5 17 1 2 0 0.31948
10 1 5 18 1 1 1 0.4092
10 1 5 19 1 1 1 0.32414
10 1 5 20 1 2 1 0.52008
10 1 5 21 1 0 1 0.31108
10 1 5 22 1 1 1 0.33174
10 1 5 23 1 0 1 0.35512
10 1 5 24 2 1 1 0.43782
10 1 5 25 2 1 1 0.39391
10 1 5 26 2 1 1 0.30937
10 1 5 27 2 1 1 0.30664
10 1 5 28 1 0 1 0.4166
10 1 5 29 1 0 1 0.38262
10 1 5 30 2 2 1 0.38649
10 1 5 31 2 1 1 0.34267
10 1 5 32 2 1 1 0.46699
10 1 5 33 1 0 1 0.34923
10 1 5 34 2 0 1 0.39131
10 1 5 35 1 0 1 0.28398
10 1 5 36 1 1 0 0.25267
10 1 5 37 2 0 1 0.4455
10 1 5 38 1 0 1 0.30657
10 1 5 39 2 1 1 0.31566
10 1 5 40 1 2 1 0.30999
10 1 5 41 1 1 1 0.41718
10 1 5 42 2 0 1 0.28381
10 1 5 43 1 0 1 0.30975
10 1 5 44 2 2 1 0.32039
10 1 5 45 1 2 1 0.30728
10 1 5 46 2 2 1 0.29994
10 1 5 47 1 0 1 0.30905
10 1 5 48 2 0 1 0.32789
10 1 5 49 2 1 1 0.45778
10 1 5 50 2 2 1 0.375
10 1 5 51 2 2 1 0.32118
10 1 5 52 1 2 1 0.50787
10 1 5 53 1 1 1 0.49157
10 1 5 54 1 1 1 0.40131
10 1 5 55 2 0 1 0.50893
10 1 5 56 2 2 1 0.51558
10 1 5 57 2 1 1 0.394
10 1 5 58 1 0 1 0.4866
10 1 5 59 1 1 1 0.42762
10 1 5 60 1 0 1 0.36769
10 1 5 61 2 2 0 0.29909
10 1 5 62 2 1 1 0.35708
10 1 5 63 1 2 1 0.4829
10 1 5 64 2 0 1 0.29721
10 1 5 65 1 2 1 0.28783
10 1 5 66 2 2 1 0.37115
10 1 5 67 2 2 0 0.26033
10 1 5 68 2 2 1 0.47695
10 1 5 69 1 2 1 0.32371
10 1 5 70 1 1 1 0.45401
10 1 5 71 1 1 1 0.38554
10 1 5 72 1 2 1 0.37513
10 1 5 73 2 2 1 0.43459
10 1 5 74 2 1 1 0.42202
10 1 5 75 1 1 1 0.54652
10 1 5 76 2 2 1 0.33928
10 1 5 77 2 2 1 0.35852
10 1 5 78 1 1 1 1.2164
10 1 5 79 1 1 1 0.90437
10 1 5 80 1 2 1 0.77637
10 1 5 81 1 1 1 0.42019
10 1 5 82 2 0 1 0.35212
10 1 5 83 1 2 1 0.44717
10 1 5 84 2 0 1 0.37979
10 1 5 85 2 0 1 0.39759
10 1 5 86 1 2 1 0.38508
10 1 5 87 1 0 1 0.41357
10 1 5 88 2 0 1 0.44117
10 1 5 89 2 1 1 0.35707
10 1 5 90 2 1 1 0.33676
10 1 5 91 2 1 1 0.28348
10 1 5 92 1 0 1 0.45321
10 1 5 93 2 0 1 0.36971
10 1 5 94 1 1 1 0.38175
10 1 5 95 2 2 1 0.33642
10 1 5 96 2 2 0 0.2933
10 1 5 97 1 2 1 0.42861
10 1 5 98 1 2 1 0.37806
10 1 5 99 1 0 1 0.49256
10 1 5 100 2 2 1 0.42774
10 1 5 101 2 0 1 0.42286
10 1 5 102 2 1 1 0.48414
10 1 5 103 2 0 1 0.33767
10 1 5 104 1 2 1 0.4617
10 1 5 105 1 2 1 0.63421
10 1 5 106 2 1 1 0.3637
10 1 5 107 1 0 1 0.38372
10 1 5 108 1 2 1 0.5215
10 1 5 109 1 0 1 0.40245
10 1 5 110 1 2 0 0.43924
10 1 5 111 1 1 1 0.42666
10 1 5 112 1 0 1 0.47001
10 1 5 113 2 1 1 0.43747
10 1 5 114 1 1 1 0.37676
10 1 5 115 2 2 1 0.32492
10 1 5 116 2 0 1 0.40841
10 1 5 117 1 1 1 0.36237
10 1 5 118 2 2 1 0.36568
10 1 5 119 1 0 1 0.28183
10 1 5 120 1 1 1 0.39509
10 1 5 121 2 1 1 0.36608
10 1 5 122 1 0 1 0.40009
10 1 5 123 1 1 1 0.35791
10 1 5 124 2 2 1 0.43275
10 1 5 125 1 2 1 0.42233
10 1 5 126 1 0 1 0.5692
10 1 5 127 1 2 1 0.8722
10 1 5 128 2 1 1 0.39375
10 1 5 129 2 0 1 0.32475
10 1 5 130 1 0 1 0.40673
10 1 5 131 2 1 1 0.34676
10 1 5 132 1 2 1 0.36696
10 1 5 133 2 2 1 0.35242
10 1 5 134 1 2 1 0.38197
10 1 5 135 2 2 1 0.34345
