subject,session,date,time,condition,block,trial,rt,wait_time,probe_resp
9005,1,10/03/22,13:20,grey,real,36,0.34026,8000,NA
9005,1,10/03/22,13:20,grey,real,37,0.4574286,3000,NA
9005,1,10/03/22,13:20,grey,real,38,0.3627953,7500,NA
9005,1,10/03/22,13:20,grey,real,39,0.5211219,5500,NA
9005,1,10/03/22,13:20,grey,real,40,0.3936186,4500,1
9005,1,10/03/22,13:20,grey,real,41,0,7500,NA
9005,1,10/03/22,13:20,grey,real,42,0,3500,NA
9005,1,10/03/22,13:20,grey,real,43,0.4321909,5000,NA
9005,1,10/03/22,13:20,grey,real,44,0,7000,NA
9005,1,10/03/22,13:20,grey,real,45,0.3735197,4500,NA
9005,1,10/03/22,13:20,grey,real,46,0.4756408,4500,NA
9005,1,10/03/22,13:20,grey,real,47,0.4611313,5500,NA
9005,1,10/03/22,13:20,grey,real,48,0.4675882,3500,1
9005,1,10/03/22,13:20,grey,real,49,0.6355217,2500,NA
9005,1,10/03/22,13:20,grey,real,50,0,6000,NA
9005,1,10/03/22,13:20,grey,real,51,0.3858633,7500,NA
9005,1,10/03/22,13:20,grey,real,52,0.3882439,7000,NA
9005,1,10/03/22,13:20,grey,real,53,0.6236093,3000,NA
9005,1,10/03/22,13:20,grey,real,54,0.4493103,7500,NA
9005,1,10/03/22,13:20,grey,real,55,0.4587098,6500,NA
9005,1,10/03/22,13:20,grey,real,56,0.5393665,2000,2
9005,1,10/03/22,13:20,grey,real,57,0,8000,NA
9005,1,10/03/22,13:20,grey,real,58,0.5142202,2000,NA
9005,1,10/03/22,13:20,grey,real,59,0.4847597,4000,NA
9005,1,10/03/22,13:20,grey,real,60,0.4832521,4000,NA
9006,1,10/04/22,10:19,grey,practice,1,0,4500,NA
9006,1,10/04/22,10:19,grey,practice,2,0.4211623,2000,NA
9006,1,10/04/22,10:19,grey,practice,3,0,2000,NA
9006,1,10/04/22,10:19,grey,practice,4,0.3868349,6000,NA
9006,1,10/04/22,10:19,grey,practice,5,0.3901023,8000,NA
9006,1,10/04/22,10:19,grey,real,1,0.3910895,2500,NA
9006,1,10/04/22,10:19,grey,real,2,0.4236857,4000,NA
9006,1,10/04/22,10:19,grey,real,3,0.6299314,2000,NA
9006,1,10/04/22,10:19,grey,real,4,0.3814557,5000,NA
9006,1,10/04/22,10:19,grey,real,5,0.3986131,6500,NA
9006,1,10/04/22,10:19,grey,real,6,0,4500,NA
9006,1,10/04/22,10:19,grey,real,7,0.4394495,7000,NA
9006,1,10/04/22,10:19,grey,real,8,0,4000,1
9006,1,10/04/22,10:19,grey,real,9,0.4624655,4500,NA
9006,1,10/04/22,10:19,grey,real,10,0.6780445,4500,NA
9006,1,10/04/22,10:19,grey,real,11,0.4570222,5000,NA
9006,1,10/04/22,10:19,grey,real,12,0.4149052,5000,NA
9006,1,10/04/22,10:19,grey,real,13,0.3742343,5000,NA
9006,1,10/04/22,10:19,grey,real,14,0.373034,5000,NA
9006,1,10/04/22,10:19,grey,real,15,0.4010796,7500,NA
9006,1,10/04/22,10:19,grey,real,16,0.4444475,2000,1
