subject,session,date,time,list,phase,serial_position,cue,target,rt,correct,...11,...12,...13,...14,...15,...16
9003,1,10/10/2022,10:11:00,2,recall,2,NA,angel,1557.3085,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,2,recall,3,NA,intro,1850.3468,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,2,recall,8,NA,shelf,8139.0191,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,2,recall,9,NA,liver,1492.5879,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,2,recall,9,NA,love,12362.7937,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,2,recall,9,NA,ethereal,1908.5302,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,2,recall,6,NA,dough,8058.7293,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,height,2533.8848,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,dove,1309.4528,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,range,3417.998,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,lion,1405.361,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,sandwich,6611.3219,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,milk,1485.0211,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,list,17946.9891,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,grocery,1676.7501,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,6,NA,shopping,2858.4092,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,2,NA,mason,3929.3696,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,3,recall,1,NA,bread,2401.7126,1,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,4,recall,1,NA,good,2475.8147,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,4,recall,1,NA,tuba,2953.1505,0,NA,NA,NA,NA,NA,NA
9003,1,10/10/2022,10:11:00,4,recall,3,NA,arbor,20737.1654,1,NA,NA,NA,NA,NA,NA
