subject,session,block,trial,subtrial,trialtype,setsize,resp,acc,rt,proberesp
9006,1,real,9,9,change,6,j,1,1165.0295,NA
9006,1,real,10,10,nochange,6,f,1,0.260399999999,NA
9006,1,real,11,11,nochange,6,f,1,1358.9597,NA
9006,1,real,12,12,change,6,j,1,1828.3024,NA
9006,1,real,13,13,change,6,j,1,1795.3596,NA
9006,1,real,14,14,nochange,6,f,1,1983.9905,NA
9006,1,real,15,15,nochange,6,j,0,3139.8515,NA
9006,1,real,16,16,nochange,6,j,0,1214.8422,2
9006,1,real,17,17,change,6,j,1,1210.5245,NA
9006,1,real,18,18,nochange,6,f,1,1321.8563,NA
9006,1,real,19,19,change,6,j,1,1042.8009,NA
9006,1,real,20,20,change,6,j,1,2285.581,NA
9006,1,real,21,21,change,6,f,0,1893.2362,NA
9006,1,real,22,22,nochange,6,f,1,1546.5966,NA
9006,1,real,23,23,nochange,6,j,0,1259.5409,NA
9006,1,real,24,24,nochange,6,f,1,1451.2843,3
9006,1,real,25,25,change,6,f,0,1685.5536,NA
9006,1,real,26,26,change,6,j,1,1007.8568,NA
9006,1,real,27,27,change,6,j,1,1694.6865,NA
9006,1,real,28,28,change,6,j,1,1111.601,NA
9006,1,real,29,29,nochange,6,f,1,1525.8992,NA
9006,1,real,30,30,nochange,6,j,0,1473.9681,NA
9006,1,real,31,31,change,6,j,1,1490.8907,NA
9006,1,real,32,32,nochange,6,j,0,6919.3085,3
9006,1,real,33,33,nochange,6,j,0,3740.9486,NA
9006,1,real,34,34,change,6,j,1,1356.3307,NA
9006,1,real,35,35,change,6,f,0,2444.1691,NA
9006,1,real,36,36,change,6,j,1,1984.028,NA
9006,1,real,37,37,change,6,j,1,2959.4674,NA
9006,1,real,38,38,change,6,j,1,1587.905,NA
9006,1,real,39,39,change,6,j,1,0.178000000014,NA
9006,1,real,40,40,nochange,6,f,1,2052.5468,3
9006,1,real,41,41,change,6,f,0,964.2376,NA
9006,1,real,42,42,nochange,6,f,1,2605.273,NA
9006,1,real,43,43,nochange,6,j,0,3004.137,NA
9006,1,real,44,44,nochange,6,f,1,385.8045,NA
9006,1,real,45,45,nochange,6,j,0,1206.3163,NA
9006,1,real,46,46,change,6,f,0,6242.456,NA
9006,1,real,47,47,nochange,6,j,0,1207.3043,NA
9006,1,real,48,48,change,6,f,0,1688.5612,5
9006,1,real,49,49,change,6,f,0,1362.0844,NA
9006,1,real,50,50,change,6,j,1,3231.3034,NA
9006,1,real,51,51,change,6,j,1,2188.3935,NA
9006,1,real,52,52,change,6,f,0,1848.0419,NA
9006,1,real,53,53,nochange,6,j,0,3414.4007,NA
9006,1,real,54,54,nochange,6,f,1,1291.1132,NA
9006,1,real,55,55,nochange,6,j,0,3611.8246,NA
9006,1,real,56,56,nochange,6,f,1,2219.0767,4
9006,1,real,57,57,change,6,j,1,880.98,NA
9006,1,real,58,58,nochange,6,f,1,1938.801,NA
9006,1,real,59,59,change,6,j,1,857.2578,NA
9006,1,real,60,60,nochange,6,j,0,1797.6422,NA
9007,1,practice,0,1,nochange,6,f,1,1138.4564,NA
9007,1,practice,0,2,nochange,6,j,0,1436.9404,NA
9007,1,practice,0,3,change,6,j,1,1755.408,NA
9007,1,practice,0,4,change,6,f,0,1629.0472,NA
9007,1,practice,0,5,nochange,6,f,1,867.4903,NA
9007,1,practice,0,6,change,6,f,0,1347.8497,NA
9007,1,real,1,1,nochange,6,f,1,1345.7032,NA
9007,1,real,2,2,nochange,6,f,1,2062.3285,NA
9007,1,real,3,3,nochange,6,f,1,995.4714,NA
9007,1,real,4,4,nochange,6,f,1,967.8158,NA
9007,1,real,5,5,change,6,f,0,1556.2513,NA
9007,1,real,6,6,change,6,j,1,1479.8221,NA
9007,1,real,7,7,change,6,j,1,1199.2879,NA
9007,1,real,8,8,change,6,j,1,3100.3659,2
9007,1,real,9,9,nochange,6,f,1,900.3079,NA
9007,1,real,10,10,nochange,6,j,0,1297.8617,NA
9007,1,real,11,11,nochange,6,f,1,1259.7241,NA
9007,1,real,12,12,nochange,6,f,1,829.4898,NA
9007,1,real,13,13,nochange,6,f,1,3640.9668,NA
9007,1,real,14,14,nochange,6,f,1,1760.3644,NA
9007,1,real,15,15,change,6,f,0,1268.0746,NA
9007,1,real,16,16,change,6,j,1,2820.9427,2
9007,1,real,17,17,change,6,j,1,1743.7601,NA
