subject,session,date,time,item,acc,rt
9041,2,11/15/22,10:05,14,0,21956.5358
9041,2,11/15/22,10:05,15,0,6563.3098
9042,2,11/15/22,09:55,1,1,8752.9517
9042,2,11/15/22,09:55,2,1,9356.2261
9042,2,11/15/22,09:55,3,1,7686.0064
9042,2,11/15/22,09:55,4,1,11165.8368
9042,2,11/15/22,09:55,5,0,19806.7977
9042,2,11/15/22,09:55,6,0,23025.5897
9042,2,11/15/22,09:55,7,0,21462.0156
9042,2,11/15/22,09:55,8,1,12753.205
9042,2,11/15/22,09:55,9,0,31701.5558
9042,2,11/15/22,09:55,10,1,19582.1387
9042,2,11/15/22,09:55,11,1,32095.4747
9042,2,11/15/22,09:55,12,1,26963.5225
9042,2,11/15/22,09:55,13,0,NA
9044,2,11/15/22,13:04,1,0,7985.7178
9044,2,11/15/22,13:04,2,1,15009.4479
9044,2,11/15/22,13:04,3,1,5278.1698
9044,2,11/15/22,13:04,4,0,18212.6161
9044,2,11/15/22,13:04,5,0,14551.7939
9044,2,11/15/22,13:04,6,0,19491.0804
9044,2,11/15/22,13:04,7,0,5606.5574
9044,2,11/15/22,13:04,8,1,13929.5163
9044,2,11/15/22,13:04,9,0,14894.7384
9044,2,11/15/22,13:04,10,0,9370.4193
9044,2,11/15/22,13:04,11,1,20195.2853
9044,2,11/15/22,13:04,12,0,6967.4353
9044,2,11/15/22,13:04,13,0,14191.4439
9044,2,11/15/22,13:04,14,0,12087.9008
9044,2,11/15/22,13:04,15,0,20694.3094
9045,2,11/15/22,13:13,1,1,7461.6856
9045,2,11/15/22,13:13,2,1,15062.1157
9045,2,11/15/22,13:13,3,1,9922.5665
9045,2,11/15/22,13:13,4,1,9534.1958
9045,2,11/15/22,13:13,5,0,20148.1829
9045,2,11/15/22,13:13,6,0,19437.4867
9045,2,11/15/22,13:13,7,1,6734.4371
9045,2,11/15/22,13:13,8,1,20539.9331
9045,2,11/15/22,13:13,9,1,18103.5024
9045,2,11/15/22,13:13,10,1,22077.2473
9045,2,11/15/22,13:13,11,0,20694.3119
9045,2,11/15/22,13:13,12,1,18944.0534
9045,2,11/15/22,13:13,13,0,24518.4404
9045,2,11/15/22,13:13,14,0,21447.5649
9045,2,11/15/22,13:13,15,0,22630.4264
9046,2,11/15/22,15:52,1,1,7786.0323
9046,2,11/15/22,15:52,2,1,13132.3206
9046,2,11/15/22,15:52,3,1,5062.8837
9046,2,11/15/22,15:52,4,1,5927.9924
9046,2,11/15/22,15:52,5,0,23246.0085
9046,2,11/15/22,15:52,6,0,27545.1254
