subject,session,block,list,setsize,matherrors,lettertotal,ospantotal,motivation,alertness
9055,2,realblock,10,3,0,3,47,NA,NA
9056,2,realblock,1,7,1,4,4,NA,NA
9056,2,realblock,2,4,0,2,6,NA,NA
9056,2,realblock,3,6,0,6,12,NA,NA
9056,2,realblock,4,3,0,3,15,NA,NA
9056,2,realblock,5,4,1,4,19,NA,NA
9056,2,realblock,6,5,1,4,23,NA,NA
9056,2,realblock,7,5,0,5,28,NA,NA
9056,2,realblock,8,7,0,4,32,NA,NA
9056,2,realblock,9,6,1,6,38,NA,NA
9056,2,realblock,10,3,0,3,41,NA,NA
9057,2,realblock,1,4,0,4,4,NA,NA
9057,2,realblock,2,6,2,1,5,NA,NA
9057,2,realblock,3,4,0,4,9,NA,NA
9057,2,realblock,4,3,1,3,12,NA,NA
9057,2,realblock,5,3,0,3,15,NA,NA
9057,2,realblock,6,7,2,2,17,NA,NA
9057,2,realblock,7,6,1,6,23,NA,NA
9057,2,realblock,8,5,0,5,28,NA,NA
9057,2,realblock,9,5,0,5,33,NA,NA
9057,2,realblock,10,7,1,4,37,NA,NA
9058,2,realblock,1,7,0,7,7,NA,NA
9058,2,realblock,2,3,1,3,10,NA,NA
9058,2,realblock,3,6,2,4,14,NA,NA
9058,2,realblock,4,7,1,7,21,NA,NA
9058,2,realblock,5,6,0,6,27,NA,NA
9058,2,realblock,6,4,0,4,31,NA,NA
9058,2,realblock,7,5,1,5,36,NA,NA
9058,2,realblock,8,4,0,4,40,NA,NA
9058,2,realblock,9,5,2,5,45,NA,NA
9058,2,realblock,10,3,0,3,48,NA,NA
9059,2,realblock,1,7,1,1,1,NA,NA
9059,2,realblock,2,6,0,1,2,NA,NA
9059,2,realblock,3,6,1,4,6,NA,NA
9059,2,realblock,4,3,1,3,9,NA,NA
9059,2,realblock,5,4,1,4,13,NA,NA
9059,2,realblock,6,4,0,4,17,NA,NA
9059,2,realblock,7,3,0,3,20,NA,NA
9059,2,realblock,8,7,2,0,20,NA,NA
9059,2,realblock,9,5,0,5,25,NA,NA
9059,2,realblock,10,5,0,0,25,NA,NA
9060,2,realblock,1,4,2,4,4,NA,NA
9060,2,realblock,2,7,0,7,11,NA,NA
