subject,session,list,setsize,senterrors,lettertotal,rspantotal
9085,2,7,5,0,3,32
9085,2,8,3,0,3,35
9085,2,9,6,0,6,41
9085,2,10,3,0,3,44
9087,2,1,6,0,6,6
9087,2,2,5,1,5,11
9087,2,3,6,0,6,17
9087,2,4,3,0,3,20
9087,2,5,3,0,3,23
9087,2,6,7,1,7,30
9087,2,7,4,0,2,32
9087,2,8,4,1,4,36
9087,2,9,7,0,7,43
9087,2,10,5,0,5,48
9088,2,1,5,0,3,3
9088,2,2,6,0,2,5
9088,2,3,4,1,3,8
9088,2,4,3,0,3,11
9088,2,5,7,0,4,15
9088,2,6,4,0,2,17
9088,2,7,5,0,0,17
9088,2,8,3,0,2,19
9088,2,9,6,0,3,22
9088,2,10,7,0,2,24
9089,2,1,5,0,4,4
9089,2,2,4,0,4,8
9089,2,3,3,0,3,11
9089,2,4,6,0,6,17
9089,2,5,7,0,7,24
9089,2,6,4,0,4,28
9089,2,7,5,1,3,31
9089,2,8,3,0,3,34
9089,2,9,6,1,0,34
9089,2,10,7,1,1,35
9090,2,1,7,0,3,3
9090,2,2,3,0,3,6
9090,2,3,6,1,5,11
9090,2,4,4,0,4,15
9090,2,5,6,2,4,19
9090,2,6,4,0,4,23
9090,2,7,3,0,3,26
9090,2,8,5,0,2,28
9090,2,9,5,0,3,31
9090,2,10,7,0,1,32
9091,2,1,7,0,1,1
9091,2,2,3,0,3,4
9091,2,3,3,0,3,7
9091,2,4,6,1,4,11
9091,2,5,4,1,1,12
9091,2,6,5,1,3,15
9091,2,7,5,0,5,20
9091,2,8,4,1,4,24
9091,2,9,7,0,3,27
9091,2,10,6,1,5,32
9092,2,1,4,1,2,2
9092,2,2,3,0,3,5
9092,2,3,6,0,3,8
9092,2,4,4,0,4,12
9092,2,5,5,1,4,16
9092,2,6,7,3,3,19
9092,2,7,7,0,2,21
9092,2,8,5,0,3,24
9092,2,9,6,0,1,25
9092,2,10,3,0,3,28
9093,2,1,3,1,3,3
9093,2,2,6,0,4,7
9093,2,3,7,0,0,7
9093,2,4,6,2,1,8
9093,2,5,5,2,5,13
9093,2,6,4,3,2,15
9093,2,7,7,0,5,20
9093,2,8,5,0,2,22
9093,2,9,3,0,3,25
9093,2,10,4,0,4,29
9095,2,1,5,0,5,5
9095,2,2,4,1,3,8
9095,2,3,5,2,3,11
9095,2,4,4,0,4,15
9095,2,5,7,4,1,16
9095,2,6,3,0,3,19
9095,2,7,3,2,3,22
9095,2,8,7,5,7,29
9095,2,9,6,2,0,29
9095,2,10,6,1,0,29
9096,2,1,7,1,0,0
9096,2,2,4,0,4,4
9096,2,3,3,0,3,7
9096,2,4,6,4,2,9
9096,2,5,5,1,2,11
9096,2,6,3,0,3,14
9096,2,7,5,1,2,16
9096,2,8,4,0,1,17
9096,2,9,6,1,4,21
9096,2,10,7,0,4,25
9097,2,1,7,3,3,3
9097,2,2,5,1,3,6
9097,2,3,5,0,0,6
9097,2,4,3,0,3,9
9097,2,5,7,1,0,9
9097,2,6,3,0,1,10
9097,2,7,4,0,3,13
9097,2,8,6,1,4,17
9097,2,9,6,1,2,19
9097,2,10,4,2,1,20
9098,2,1,5,0,3,3
9098,2,2,7,0,0,3
9098,2,3,5,1,0,3
9098,2,4,3,0,0,3
9098,2,5,7,0,0,3
9098,2,6,6,0,0,3
9098,2,7,4,0,0,3
9098,2,8,3,0,0,3
9098,2,9,4,0,0,3
9098,2,10,6,0,0,3
9099,2,1,7,0,5,5
9099,2,2,3,0,3,8
9099,2,3,5,0,5,13
9099,2,4,4,1,4,17
9099,2,5,3,1,3,20
9099,2,6,4,0,4,24
9099,2,7,6,1,4,28
9099,2,8,7,1,6,34
9099,2,9,5,1,4,38
9099,2,10,6,1,1,39
9100,2,1,5,0,5,5
9100,2,2,4,1,3,8
9100,2,3,7,1,5,13
9100,2,4,7,0,6,19
9100,2,5,5,0,4,23
9100,2,6,6,0,3,26
9100,2,7,3,1,3,29
9100,2,8,6,0,6,35
9100,2,9,3,0,3,38
9100,2,10,4,0,2,40
9101,2,1,7,0,2,2
9101,2,2,5,0,2,4
9101,2,3,4,0,4,8
9101,2,4,4,0,4,12
9101,2,5,5,1,5,17
9101,2,6,7,0,0,17
9101,2,7,3,0,3,20
9101,2,8,6,2,2,22
9101,2,9,3,0,3,25
9101,2,10,6,0,4,29
9102,2,1,6,0,6,6
9102,2,2,5,0,5,11
9102,2,3,4,0,4,15
