subject,session,date,time,item,acc,rt
9168,1,09/14/23,15:31,13,0,27368.1462
9168,1,09/14/23,15:31,14,0,55719.7612
9168,1,09/14/23,15:31,15,0,18490.7509
9168,1,09/14/23,15:31,16,1,47503.3303
9168,1,09/14/23,15:31,17,0,114669.9043
9169,1,09/14/23,16:11,1,1,15857.6182
9169,1,09/14/23,16:11,2,1,8841.6181
9169,1,09/14/23,16:11,3,1,11172.7117
9169,1,09/14/23,16:11,4,0,12685.0965
9169,1,09/14/23,16:11,5,1,24486.1301
9169,1,09/14/23,16:11,6,1,19701.6629
9169,1,09/14/23,16:11,7,1,22788.4109
9169,1,09/14/23,16:11,8,1,28353.4455
9169,1,09/14/23,16:11,9,0,9874.5682
9169,1,09/14/23,16:11,10,0,10611.1703
9169,1,09/14/23,16:11,11,1,34943.8557
9169,1,09/14/23,16:11,12,0,63892.812
9169,1,09/14/23,16:11,13,0,38731.6912
9169,1,09/14/23,16:11,14,1,33776.2455
9169,1,09/14/23,16:11,15,0,39775.4865
9169,1,09/14/23,16:11,16,0,72792.7679
9169,1,09/14/23,16:11,17,1,52209.1189
9169,1,09/14/23,16:11,18,1,19520.1399
9170,1,09/15/23,09:36,1,1,13774.454
9170,1,09/15/23,09:36,2,1,20282.9434
9170,1,09/15/23,09:36,3,1,7892.934
9170,1,09/15/23,09:36,4,1,14072.7412
9170,1,09/15/23,09:36,5,0,29259.3058
9170,1,09/15/23,09:36,6,1,20109.5556
9170,1,09/15/23,09:36,7,0,17357.5187
9170,1,09/15/23,09:36,8,1,29423.2479
9170,1,09/15/23,09:36,9,1,22451.8663
9170,1,09/15/23,09:36,10,1,18861.4726
9170,1,09/15/23,09:36,11,1,26527.7079
9170,1,09/15/23,09:36,12,0,24442.4348
9170,1,09/15/23,09:36,13,0,12634.5033
9170,1,09/15/23,09:36,14,0,21100.2521
9170,1,09/15/23,09:36,15,0,33005.2539
9170,1,09/15/23,09:36,16,0,24132.239
9170,1,09/15/23,09:36,17,0,43546.8706
9170,1,09/15/23,09:36,18,0,28561.3662
9171,1,09/15/23,09:48,1,1,11771.3649
9171,1,09/15/23,09:48,2,1,9176.6939
9171,1,09/15/23,09:48,3,0,24982.2943
9171,1,09/15/23,09:48,4,0,19788.9813
9171,1,09/15/23,09:48,5,0,13513.2715
9171,1,09/15/23,09:48,6,0,18019.3411
9171,1,09/15/23,09:48,7,0,14306.6827
9171,1,09/15/23,09:48,8,1,29899.6521
9171,1,09/15/23,09:48,9,0,15352.3386
9171,1,09/15/23,09:48,10,1,13164.5443
9171,1,09/15/23,09:48,11,0,10996.9787
9171,1,09/15/23,09:48,12,0,30535.8002
9171,1,09/15/23,09:48,13,0,14874.5314
