sub session blk trl stim cond acc rt
11 2 1 86 1 2 1 0.35214
11 2 1 88 2 1 1 0.40864
11 2 1 91 2 1 1 0.33085
11 2 1 92 2 1 1 0.319
11 2 1 94 2 1 1 0.39529
11 2 1 96 2 2 1 0.50735
11 2 1 98 2 1 1 0.38956
11 2 1 101 2 1 1 0.415
11 2 1 102 1 2 1 0.42683
11 2 1 103 2 2 1 0.41721
11 2 1 104 1 1 1 0.33992
11 2 1 106 2 2 1 0.64173
11 2 1 108 1 1 1 0.32967
11 2 1 109 1 2 1 0.49483
11 2 1 113 1 2 1 0.42175
11 2 1 114 2 1 1 0.4669
11 2 1 115 2 1 1 0.63935
11 2 1 116 2 2 1 0.35359
11 2 1 118 2 2 1 0.32642
11 2 1 121 2 1 1 0.54422
11 2 1 122 2 1 1 0.43924
11 2 1 124 1 2 1 0.48057
11 2 1 125 1 2 1 0.56548
11 2 1 128 1 1 1 0.314
11 2 1 129 1 1 1 0.33815
11 2 1 132 2 1 1 0.39704
11 2 1 133 2 2 1 0.34744
11 2 1 136 1 2 1 0.48376
11 2 1 137 1 1 1 0.35456
11 2 1 138 2 1 1 0.47617
11 2 1 142 2 1 1 0.36758
11 2 1 144 1 2 1 0.3918
11 2 2 13 1 2 1 0.38953
11 2 2 16 2 1 1 0.36979
11 2 2 17 1 2 1 0.42927
11 2 2 18 2 1 1 0.43306
11 2 2 19 2 2 1 0.57564
11 2 2 20 1 2 1 0.3842
11 2 2 21 1 2 1 0.38593
11 2 2 22 1 1 1 0.35879
11 2 2 23 2 1 1 0.43349
11 2 2 26 1 1 1 0.36064
11 2 2 29 2 1 1 0.35388
11 2 2 30 2 1 1 0.37404
11 2 2 33 2 2 1 0.49493
11 2 2 36 2 2 1 0.53453
11 2 2 37 2 2 1 0.51975
11 2 2 38 2 2 1 0.47762
11 2 2 39 1 1 1 0.5157
11 2 2 40 1 1 1 0.46619
11 2 2 41 2 2 1 0.50589
11 2 2 43 1 2 1 0.49117
11 2 2 44 1 1 1 0.40275
11 2 2 45 2 2 1 0.55797
11 2 2 46 2 2 1 0.56404
11 2 2 47 2 1 1 0.47757
11 2 2 48 1 2 1 0.38841
11 2 2 49 1 2 1 0.40071
11 2 2 52 1 1 1 0.47746
11 2 2 54 2 2 1 0.58988
11 2 2 55 2 1 1 0.40759
11 2 2 57 2 2 1 0.54426
11 2 2 58 1 1 1 0.4404
11 2 2 60 1 1 1 0.57728
11 2 2 62 2 1 1 0.45975
11 2 2 63 2 1 1 0.48284
11 2 2 64 1 1 1 0.37494
11 2 2 66 2 2 1 0.45553
11 2 2 68 1 1 1 0.33699
11 2 2 71 1 1 1 0.33306
11 2 2 77 1 2 1 0.31791
11 2 2 78 2 2 1 0.44953
11 2 2 79 1 2 1 0.35636
11 2 2 80 1 2 1 0.48694
11 2 2 81 2 1 1 0.49342
11 2 2 82 1 2 1 0.34081
11 2 2 83 2 1 1 0.58336
11 2 2 84 1 2 1 0.31911
11 2 2 85 2 1 1 0.45692
11 2 2 87 2 1 1 0.37896
11 2 2 88 1 1 1 0.46402
11 2 2 89 2 2 1 0.45295
11 2 2 90 1 2 1 0.36279
11 2 2 93 1 1 1 0.4208
11 2 2 95 1 1 1 0.35477
11 2 2 97 2 2 1 0.38716
11 2 2 99 2 1 1 0.40941
11 2 2 103 2 2 1 0.53988
11 2 2 104 1 1 1 0.40379
11 2 2 105 1 2 1 0.2875
11 2 2 108 1 2 1 0.51508
11 2 2 110 1 1 1 0.33773
11 2 2 112 1 2 1 0.36699
11 2 2 114 2 2 1 0.45547
11 2 2 118 2 1 1 0.42514
11 2 2 119 1 2 1 0.38262
11 2 2 120 1 1 1 0.39494
11 2 2 121 2 1 1 0.3364
11 2 2 122 2 2 1 0.45557
11 2 2 123 1 1 1 0.38252
11 2 2 124 2 1 1 0.45814
11 2 2 125 2 1 1 0.47049
11 2 2 127 1 1 1 0.35177
11 2 2 128 2 1 1 0.41845
11 2 2 129 2 2 1 0.46483
11 2 2 130 2 2 1 0.38235
11 2 2 131 1 2 1 0.34461
11 2 2 132 1 1 1 0.29951
11 2 2 135 1 1 1 0.4041
11 2 2 136 2 2 1 0.30452
11 2 2 140 1 1 1 0.35976
11 2 2 141 1 1 1 0.28224
11 2 2 142 1 2 1 0.46676
11 2 2 143 2 1 1 0.41062
11 2 2 144 2 2 1 0.40435
11 2 3 12 2 1 1 0.43649
11 2 3 13 2 2 1 0.49698
11 2 3 15 1 2 1 0.41893
11 2 3 16 1 1 1 0.35965
11 2 3 20 1 1 1 0.44808
11 2 3 21 2 2 1 0.45372
11 2 3 22 1 2 1 0.39443
11 2 3 23 2 2 1 0.51877
11 2 3 25 1 1 1 0.36981
11 2 3 27 1 2 1 0.44862
11 2 3 28 1 1 1 0.37381
11 2 3 29 1 2 1 0.31605
11 2 3 30 1 1 1 0.35469
11 2 3 31 2 1 1 0.78283
11 2 3 32 1 2 1 0.436
11 2 3 33 2 2 1 0.43913
11 2 3 34 1 1 1 0.35649
11 2 3 35 1 1 1 0.28196
11 2 3 36 2 2 1 0.40956
11 2 3 37 1 1 1 0.45357
11 2 3 38 1 1 1 0.33097
11 2 3 39 1 1 1 0.3487
11 2 3 40 2 1 1 0.54349
11 2 3 42 2 1 1 0.35373
11 2 3 43 2 1 1 0.35091
11 2 3 45 1 2 1 0.46866
11 2 3 46 2 1 1 0.43247
11 2 3 48 2 1 1 0.36911
11 2 3 49 1 1 1 0.42161
11 2 3 50 1 2 1 0.37267
11 2 3 53 1 2 1 0.52003
11 2 3 54 2 2 1 0.44395
11 2 3 55 1 2 1 0.36803
11 2 3 57 2 1 1 0.47189
11 2 3 58 1 1 1 0.4545
11 2 3 61 2 1 1 0.39386
11 2 3 62 1 1 1 0.36663
11 2 3 63 1 1 1 0.35612
11 2 3 65 2 1 1 0.44237
11 2 3 66 2 1 1 0.51037
11 2 3 67 1 2 1 0.34742
11 2 3 69 2 1 1 0.42527
11 2 3 75 2 2 1 0.46584
11 2 3 80 2 2 1 0.56456
11 2 3 82 1 2 1 0.38901
11 2 3 85 1 2 1 0.34699
11 2 3 87 1 1 1 0.3998
11 2 3 88 2 2 1 0.50789
11 2 3 90 2 2 1 0.3657
11 2 3 91 2 2 1 0.43498
11 2 3 92 1 2 1 0.615
11 2 3 93 2 2 1 0.44742
11 2 3 94 2 2 1 0.42102
11 2 3 95 2 2 1 0.4588
11 2 3 96 2 2 1 0.46307
11 2 3 97 2 1 1 0.34976
11 2 3 98 2 2 1 0.5268
11 2 3 100 2 2 1 0.44405
11 2 3 101 2 1 1 0.38423
11 2 3 102 2 2 1 0.41401
11 2 3 104 1 1 1 0.45285
11 2 3 106 2 1 1 0.56172
11 2 3 107 1 2 1 0.49737
11 2 3 109 2 1 1 0.4374
11 2 3 112 2 2 1 0.32924
11 2 3 113 2 1 1 0.32234
11 2 3 115 2 2 1 0.31055
11 2 3 117 2 1 1 0.34714
11 2 3 118 1 1 1 0.60006
11 2 3 119 2 2 1 0.46214
11 2 3 121 1 1 1 0.4572
11 2 3 122 1 1 1 0.40698
11 2 3 123 2 1 1 0.42848
11 2 3 127 1 2 1 0.36918
11 2 3 128 2 2 1 0.4517
11 2 3 129 1 2 1 0.54617
11 2 3 131 2 1 1 0.47816
11 2 3 134 2 1 1 0.40597
