"ID","item","item_type","test_type","study_pos","ON_resp","ON_RT","rating_resp","rating_RT","file"
2,"HESP","nonword","new",NA,"old",1.81218950464,"K",0.841399809782,"P10_RKN_2018_Mar_01_1317.csv"
2,"HOME","word","new",NA,"old",1.74091271151,"K",1.44145340617,"P10_RKN_2018_Mar_01_1317.csv"
2,"FEET","word","new",NA,"new",1.94041300887,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"FOMB","nonword","new",NA,"old",1.83762452303,"R",1.01721578778,"P10_RKN_2018_Mar_01_1317.csv"
2,"MAKE","word","new",NA,"new",2.8783996421,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"MYDE","nonword","new",NA,"new",1.43870685669,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
2,"ABST","nonword","new",NA,"old",1.80625444376,"R",1.66560463754,"P10_RKN_2018_Mar_01_1317.csv"
2,"ROAD","word","old",26,"old",1.49189693348,"K",0.769522641465,"P10_RKN_2018_Mar_01_1317.csv"
2,"TALK","word","old",34,"old",1.22146880749,"R",0.777234623674,"P10_RKN_2018_Mar_01_1317.csv"
2,"JALT","nonword","new",NA,"new",1.26265182573,"N",NA,"P10_RKN_2018_Mar_01_1317.csv"
3,"LINE","word","old",38,"new",5.40054734724,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"DOOR","word","old",9,"old",3.31378171223,"K",7.13569232827,"P11_RKN_2018_Mar_08_1520.csv"
3,"VEUL","nonword","old",11,"old",3.91846982177,"K",1.91294462694,"P11_RKN_2018_Mar_08_1520.csv"
3,"NOGE","nonword","new",NA,"new",2.04442285839,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"KISS","word","old",5,"old",2.28246680225,"R",1.1606411236,"P11_RKN_2018_Mar_08_1520.csv"
3,"NARN","nonword","old",20,"new",2.15182422154,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"FACE","word","new",NA,"old",5.10339878572,"K",1.06502004564,"P11_RKN_2018_Mar_08_1520.csv"
3,"YEAR","word","old",29,"new",2.93445566852,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"ZEAM","nonword","old",40,"old",2.18524867162,"K",1.41704625587,"P11_RKN_2018_Mar_08_1520.csv"
3,"GWIC","nonword","new",NA,"new",2.08932479107,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"SOTE","nonword","new",NA,"new",2.25585274454,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"SIME","nonword","new",NA,"new",2.38659377824,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"WALK","word","old",17,"new",2.4013089356,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"LEFT","word","new",NA,"new",3.66204061155,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"JALT","nonword","old",13,"new",5.47426717443,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"SNUZ","nonword","old",8,"old",1.56401989449,"R",0.93700007291,"P11_RKN_2018_Mar_08_1520.csv"
3,"MAKE","word","new",NA,"new",2.00208647872,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"GIRL","word","new",NA,"new",2.62190409581,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"DUFE","nonword","old",33,"old",1.46652807973,"R",1.63297372134,"P11_RKN_2018_Mar_08_1520.csv"
3,"ROAD","word","new",NA,"new",4.71046152414,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"NOTE","word","old",16,"old",1.61233199324,"K",0.912827010208,"P11_RKN_2018_Mar_08_1520.csv"
3,"SKIN","word","old",39,"old",1.58866195643,"K",1.22249301849,"P11_RKN_2018_Mar_08_1520.csv"
3,"CHUR","nonword","old",15,"old",1.20300757809,"R",1.01707179242,"P11_RKN_2018_Mar_08_1520.csv"
3,"CLOF","nonword","new",NA,"new",1.65202999665,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"WASH","word","old",41,"new",1.8959357962,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"LATT","nonword","new",NA,"new",1.58541804116,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"WONE","nonword","new",NA,"new",3.19523925369,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"DAPT","nonword","old",47,"old",1.61210361987,"K",1.19271940243,"P11_RKN_2018_Mar_08_1520.csv"
3,"CWEB","nonword","old",26,"old",2.50019630758,"R",1.00107904949,"P11_RKN_2018_Mar_08_1520.csv"
3,"PLOK","nonword","old",49,"new",1.97882894854,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"DAUV","nonword","old",27,"old",1.33246945037,"R",0.897100101894,"P11_RKN_2018_Mar_08_1520.csv"
3,"MENC","nonword","old",2,"new",2.49511098446,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"BLUE","word","new",NA,"new",3.58950685218,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"DWEK","nonword","new",NA,"new",2.57559435946,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"GOOD","word","old",48,"new",4.16269322677,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"ABST","nonword","new",NA,"new",1.45873782775,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"PAGE","word","old",22,"old",2.65721485246,"K",0.864859036927,"P11_RKN_2018_Mar_08_1520.csv"
3,"KLIB","nonword","new",NA,"new",3.46785681063,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"LIFE","word","new",NA,"old",3.25764567166,"K",1.73666066924,"P11_RKN_2018_Mar_08_1520.csv"
3,"LORT","nonword","old",12,"new",2.48489842296,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
3,"SEAT","word","old",1,"old",1.78881194573,"K",1.35293704207,"P11_RKN_2018_Mar_08_1520.csv"
3,"SONG","word","old",24,"new",1.93714958703,"N",NA,"P11_RKN_2018_Mar_08_1520.csv"
