Subject,Task,TrialProc,Block,Trial,Accuracy,RT,Response,CorrectResponse,Stimulus_1,Stimulus_2,TargetLength,Distractor_Location,LetterComp.Total,NumberComp.Total,LetterComp_1.Total,LetterComp_2.Total,NumberComp_1.Total,NumberComp_2.Total,SessionDate,SessionTime
14011,NumberComparison,real,1,17,1,2847,different,different,203817546,203819546,9,6,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,18,0,2296,same,different,457328019,456328019,9,3,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,1,19,1,1031,same,same,301,301,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,1,1,3087,different,different,132845970,632845970,9,1,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,2,1,3478,different,different,680257491,683257491,9,3,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,3,1,2901,different,different,821953760,821954760,9,6,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,4,1,2053,different,different,539601,538601,6,3,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,5,1,2797,different,different,365749210,365789210,9,5,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,6,1,3016,different,different,579861,579361,6,4,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,7,1,3762,same,same,587240136,587240136,9,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,8,1,2270,same,same,693845,693845,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,9,1,1013,same,same,841,841,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,10,1,1047,different,different,780,720,3,2,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,11,1,1246,same,same,430,430,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,12,1,943,same,same,914,914,3,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,13,1,1723,same,same,586347,586347,6,0,23,32,12,11,18,14,09-07-2014,15:41:48
14011,NumberComparison,real,2,14,1,1049,different,different,412,416,3,3,23,32,12,11,18,14,09-07-2014,15:41:48
