Subject,Block,Trial,SetSize,SubTrial,SubTrialProc,RT,Accuracy,Response,CorrectResponse,MemoryItem,Processing.total,Recall.total,RotSpan.Absolute,RotSpan.Partial,RotSpan.Partial_Block1,RotSpan.Partial_Block2,RotSpan.RotationACC,RotSpan.RotationDuration,SessionDate,SessionTime
14001,1,3,7,14,Recall,NA,NA,NA,5,NA,6,6,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,1,ProcessingTask,375,1,FALSE,FALSE,2,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,2,ProcessingTask,432,1,TRUE,TRUE,10,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,3,ProcessingTask,476,1,FALSE,FALSE,6,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,4,ProcessingTask,383,1,TRUE,TRUE,11,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,5,Recall,NA,0,7,2,NA,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,6,Recall,NA,1,10,10,NA,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,7,Recall,NA,1,6,6,NA,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,4,4,8,Recall,NA,0,3,11,NA,4,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,5,2,1,ProcessingTask,409,0,TRUE,FALSE,3,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,5,2,2,ProcessingTask,512,1,TRUE,TRUE,14,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,5,2,3,Recall,NA,1,3,3,NA,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,5,2,4,Recall,NA,1,14,14,NA,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,1,ProcessingTask,512,1,FALSE,FALSE,14,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,2,ProcessingTask,408,1,FALSE,FALSE,3,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,3,ProcessingTask,452,1,TRUE,TRUE,8,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,4,ProcessingTask,400,1,FALSE,FALSE,6,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,5,ProcessingTask,329,1,FALSE,FALSE,13,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,6,Recall,NA,1,14,14,NA,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,7,Recall,NA,1,3,3,NA,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,8,Recall,NA,1,8,8,NA,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,9,Recall,NA,1,6,6,NA,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,1,6,5,10,Recall,NA,1,13,13,NA,5,5,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,1,ProcessingTask,725,1,TRUE,TRUE,5,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,2,ProcessingTask,457,1,FALSE,FALSE,1,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,3,ProcessingTask,620,1,TRUE,TRUE,4,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,4,ProcessingTask,435,0,TRUE,FALSE,8,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,5,ProcessingTask,1414,1,FALSE,FALSE,12,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,6,ProcessingTask,981,1,TRUE,TRUE,10,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,7,ProcessingTask,249,1,TRUE,TRUE,3,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,8,Recall,NA,0,1,5,NA,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,9,Recall,NA,0,8,1,NA,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,10,Recall,NA,0,2,4,NA,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,11,Recall,NA,0,14,8,NA,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,12,Recall,NA,0,3,12,NA,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,13,Recall,NA,NA,NA,10,NA,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,1,7,14,Recall,NA,NA,NA,3,NA,6,0,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,2,2,1,ProcessingTask,2053,0,TRUE,FALSE,1,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,2,2,2,ProcessingTask,1476,1,TRUE,TRUE,11,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,2,2,3,Recall,NA,1,1,1,NA,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,2,2,4,Recall,NA,1,11,11,NA,1,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,1,ProcessingTask,525,1,TRUE,TRUE,4,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,2,ProcessingTask,358,1,TRUE,TRUE,1,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,3,ProcessingTask,511,1,TRUE,TRUE,6,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,4,ProcessingTask,469,1,FALSE,FALSE,7,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,5,ProcessingTask,398,1,TRUE,TRUE,3,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,6,Recall,NA,0,1,4,NA,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,7,Recall,NA,0,6,1,NA,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,8,Recall,NA,0,4,6,NA,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,9,Recall,NA,1,7,7,NA,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,3,5,10,Recall,NA,1,3,3,NA,5,2,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,1,ProcessingTask,394,1,FALSE,FALSE,8,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,2,ProcessingTask,464,1,TRUE,TRUE,5,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
14001,2,4,6,3,ProcessingTask,380,1,FALSE,FALSE,13,6,3,37,34,20,14,0.935251798561151,NA,09-17-2017,10:59:41
