Subject,TrialProc,Trial,Accuracy,RT,Target,FixationDuration,SessionDate,SessionTime
12012,real,24,1,389,Q,1000,02-20-2015,15:03:48
12012,real,25,1,447,Q,2000,02-20-2015,15:03:48
12012,real,26,1,350,Q,1000,02-20-2015,15:03:48
12012,real,27,1,361,Q,2000,02-20-2015,15:03:48
12012,real,28,1,404,O,2000,02-20-2015,15:03:48
12012,real,29,1,404,O,1000,02-20-2015,15:03:48
12012,real,30,1,389,O,1000,02-20-2015,15:03:48
12012,real,31,1,495,Q,2000,02-20-2015,15:03:48
12012,real,32,1,406,Q,2000,02-20-2015,15:03:48
12012,real,33,1,462,Q,2000,02-20-2015,15:03:48
12012,real,34,1,365,Q,1000,02-20-2015,15:03:48
12012,real,35,1,424,O,2000,02-20-2015,15:03:48
12012,real,36,1,495,O,2000,02-20-2015,15:03:48
12012,real,37,1,557,Q,1000,02-20-2015,15:03:48
12012,real,38,1,392,Q,1000,02-20-2015,15:03:48
12012,real,39,1,416,O,2000,02-20-2015,15:03:48
12012,real,40,1,257,Q,1000,02-20-2015,15:03:48
12012,real,41,1,273,O,2000,02-20-2015,15:03:48
12012,real,42,1,240,Q,2000,02-20-2015,15:03:48
12012,real,43,1,415,Q,2000,02-20-2015,15:03:48
12012,real,44,1,368,O,1000,02-20-2015,15:03:48
12012,real,45,1,362,Q,2000,02-20-2015,15:03:48
12012,real,46,1,413,Q,1000,02-20-2015,15:03:48
12012,real,47,1,439,Q,2000,02-20-2015,15:03:48
12012,real,48,1,381,Q,2000,02-20-2015,15:03:48
12013,practice,1,1,726,Q,1000,02-20-2015,16:13:47
12013,practice,2,1,393,O,1000,02-20-2015,16:13:47
12013,practice,3,1,555,Q,2000,02-20-2015,16:13:47
12013,practice,4,1,420,O,2000,02-20-2015,16:13:47
12013,practice,5,1,340,O,2000,02-20-2015,16:13:47
12013,practice,6,1,848,Q,2000,02-20-2015,16:13:47
12013,practice,7,1,806,O,2000,02-20-2015,16:13:47
12013,practice,8,1,526,Q,2000,02-20-2015,16:13:47
12013,practice,9,1,473,O,1000,02-20-2015,16:13:47
12013,practice,10,1,463,O,2000,02-20-2015,16:13:47
12013,practice,11,1,421,Q,1000,02-20-2015,16:13:47
12013,practice,12,1,437,Q,2000,02-20-2015,16:13:47
12013,practice,13,1,588,O,1000,02-20-2015,16:13:47
12013,practice,14,1,540,Q,1000,02-20-2015,16:13:47
12013,practice,15,1,439,O,1000,02-20-2015,16:13:47
12013,practice,16,1,421,Q,1000,02-20-2015,16:13:47
12013,real,1,1,448,O,1000,02-20-2015,16:13:47
12013,real,2,1,502,Q,2000,02-20-2015,16:13:47
12013,real,3,1,403,Q,1000,02-20-2015,16:13:47
12013,real,4,1,355,Q,1000,02-20-2015,16:13:47
12013,real,5,1,469,Q,2000,02-20-2015,16:13:47
12013,real,6,1,346,Q,1000,02-20-2015,16:13:47
12013,real,7,1,461,O,2000,02-20-2015,16:13:47
12013,real,8,1,443,O,1000,02-20-2015,16:13:47
12013,real,9,1,402,Q,2000,02-20-2015,16:13:47
12013,real,10,1,690,O,2000,02-20-2015,16:13:47
12013,real,11,1,455,Q,1000,02-20-2015,16:13:47
12013,real,12,1,429,O,1000,02-20-2015,16:13:47
12013,real,13,1,397,O,1000,02-20-2015,16:13:47
12013,real,14,1,518,Q,2000,02-20-2015,16:13:47
12013,real,15,0,945,O,1000,02-20-2015,16:13:47
12013,real,16,1,428,O,2000,02-20-2015,16:13:47
12013,real,17,1,387,Q,2000,02-20-2015,16:13:47
12013,real,18,1,461,O,1000,02-20-2015,16:13:47
12013,real,19,1,467,Q,1000,02-20-2015,16:13:47
12013,real,20,1,480,O,2000,02-20-2015,16:13:47
12013,real,21,0,792,O,1000,02-20-2015,16:13:47
12013,real,22,1,384,O,1000,02-20-2015,16:13:47
12013,real,23,1,346,Q,2000,02-20-2015,16:13:47
12013,real,24,1,348,O,1000,02-20-2015,16:13:47
